Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
278844,20in Monitor,1,109.99,11/24/19 12:37,"944 Madison St, Los Angeles, CA 90001"
278861,AA Batteries (4-pack),2,3.84,11/24/19 16:18,"485 Jefferson St, New York City, NY 10001"
278877,34in Ultrawide Monitor,1,379.99,11/24/19 20:08,"684 Madison St, Atlanta, GA 30301"
278888,AA Batteries (4-pack),1,3.84,11/24/19 15:44,"447 Cherry St, Los Angeles, CA 90001"
278911,Macbook Pro Laptop,1,1700.0,11/24/19 13:03,"244 Walnut St, Los Angeles, CA 90001"
278916,Apple Airpods Headphones,1,150.0,11/24/19 21:17,"561 7th St, San Francisco, CA 94016"
278931,ThinkPad Laptop,1,999.99,11/24/19 14:13,"493 Center St, Boston, MA 02215"
279064,iPhone,1,700.0,11/24/19 18:28,"415 Lincoln St, San Francisco, CA 94016"
279093,USB-C Charging Cable,2,11.95,11/24/19 22:59,"571 Willow St, Portland, ME 04101"
279161,Google Phone,1,600.0,11/24/19 10:34,"472 Chestnut St, Portland, ME 04101"
279185,Bose SoundSport Headphones,1,99.99,11/24/19 09:43,"409 Highland St, Atlanta, GA 30301"
279196,Lightning Charging Cable,1,14.95,11/24/19 02:20,"449 Ridge St, New York City, NY 10001"
279200,Wired Headphones,3,11.99,11/24/19 17:26,"343 Dogwood St, Boston, MA 02215"
279253,27in 4K Gaming Monitor,1,389.99,11/24/19 19:45,"586 8th St, Los Angeles, CA 90001"
279273,Bose SoundSport Headphones,1,99.99,11/24/19 17:53,"222 Hickory St, Portland, OR 97035"
279288,34in Ultrawide Monitor,1,379.99,11/24/19 14:25,"984 10th St, Atlanta, GA 30301"
279288,Wired Headphones,1,11.99,11/24/19 14:25,"984 10th St, Atlanta, GA 30301"
279290,AA Batteries (4-pack),1,3.84,11/24/19 11:26,"536 Washington St, Austin, TX 73301"
279306,20in Monitor,1,109.99,11/24/19 18:44,"135 11th St, San Francisco, CA 94016"
279325,Wired Headphones,1,11.99,11/24/19 20:08,"542 7th St, San Francisco, CA 94016"
279334,Lightning Charging Cable,1,14.95,11/24/19 21:18,"534 Adams St, Los Angeles, CA 90001"
279355,Lightning Charging Cable,1,14.95,11/24/19 13:13,"177 Madison St, Seattle, WA 98101"
279390,AA Batteries (4-pack),1,3.84,11/24/19 15:10,"275 Madison St, San Francisco, CA 94016"
279403,Apple Airpods Headphones,1,150.0,11/24/19 20:42,"168 7th St, New York City, NY 10001"
279438,Apple Airpods Headphones,1,150.0,11/24/19 13:51,"216 Lakeview St, Los Angeles, CA 90001"
279470,AAA Batteries (4-pack),1,2.99,11/24/19 20:25,"682 8th St, San Francisco, CA 94016"
279498,Apple Airpods Headphones,1,150.0,11/24/19 17:48,"97 Dogwood St, Austin, TX 73301"
279499,Google Phone,1,600.0,11/24/19 13:51,"503 Maple St, Boston, MA 02215"
279499,Google Phone,1,600.0,11/24/19 13:51,"503 Maple St, Boston, MA 02215"
279506,Wired Headphones,1,11.99,11/24/19 11:49,"100 River St, San Francisco, CA 94016"
279514,USB-C Charging Cable,1,11.95,11/24/19 21:22,"721 Spruce St, Los Angeles, CA 90001"
279522,Google Phone,1,600.0,11/24/19 11:07,"843 8th St, Seattle, WA 98101"
279531,AA Batteries (4-pack),3,3.84,11/24/19 19:35,"856 Center St, New York City, NY 10001"
279555,Wired Headphones,1,11.99,11/24/19 18:44,"252 North St, San Francisco, CA 94016"
279569,Lightning Charging Cable,1,14.95,11/24/19 14:15,"296 River St, Atlanta, GA 30301"
279602,Apple Airpods Headphones,1,150.0,11/24/19 17:37,"238 Spruce St, Dallas, TX 75001"
279624,Wired Headphones,1,11.99,11/24/19 08:22,"779 Madison St, San Francisco, CA 94016"
279663,Lightning Charging Cable,1,14.95,11/24/19 00:29,"915 Jefferson St, San Francisco, CA 94016"
279745,USB-C Charging Cable,1,11.95,11/24/19 12:41,"968 West St, Los Angeles, CA 90001"
279775,Lightning Charging Cable,1,14.95,11/24/19 20:46,"647 Elm St, Atlanta, GA 30301"
279785,Lightning Charging Cable,1,14.95,11/24/19 22:08,"121 11th St, Los Angeles, CA 90001"
279821,27in 4K Gaming Monitor,1,389.99,11/24/19 12:14,"679 Cedar St, Dallas, TX 75001"
279849,Wired Headphones,1,11.99,11/24/19 02:50,"53 10th St, Atlanta, GA 30301"
279862,AAA Batteries (4-pack),3,2.99,11/24/19 13:01,"156 River St, San Francisco, CA 94016"
279862,ThinkPad Laptop,1,999.99,11/24/19 13:01,"156 River St, San Francisco, CA 94016"
279878,Apple Airpods Headphones,1,150.0,11/24/19 21:08,"229 9th St, Austin, TX 73301"
279887,Flatscreen TV,1,300.0,11/24/19 09:00,"654 Chestnut St, Atlanta, GA 30301"
279897,Google Phone,1,600.0,11/24/19 13:36,"827 Willow St, Atlanta, GA 30301"
279903,AA Batteries (4-pack),2,3.84,11/24/19 21:29,"970 9th St, Boston, MA 02215"
279915,Flatscreen TV,1,300.0,11/24/19 21:15,"945 Church St, Boston, MA 02215"
279980,34in Ultrawide Monitor,1,379.99,11/24/19 19:19,"564 Jefferson St, Seattle, WA 98101"
279983,AA Batteries (4-pack),4,3.84,11/24/19 16:48,"792 Lake St, Portland, OR 97035"
280011,iPhone,1,700.0,11/24/19 06:08,"153 6th St, Los Angeles, CA 90001"
280054,Wired Headphones,1,11.99,11/24/19 19:52,"740 West St, San Francisco, CA 94016"
280071,Bose SoundSport Headphones,1,99.99,11/24/19 07:38,"654 14th St, Portland, OR 97035"
280076,USB-C Charging Cable,1,11.95,11/24/19 20:21,"50 Hickory St, Dallas, TX 75001"
280099,AA Batteries (4-pack),1,3.84,11/24/19 15:39,"628 Wilson St, San Francisco, CA 94016"
280124,Lightning Charging Cable,1,14.95,11/24/19 15:07,"52 2nd St, San Francisco, CA 94016"
280175,Lightning Charging Cable,1,14.95,11/24/19 09:01,"110 4th St, San Francisco, CA 94016"
280185,27in FHD Monitor,1,149.99,11/24/19 16:44,"941 4th St, San Francisco, CA 94016"
280196,Wired Headphones,1,11.99,11/24/19 01:36,"246 Church St, Portland, OR 97035"
280274,Google Phone,1,600.0,11/24/19 10:32,"89 Elm St, San Francisco, CA 94016"
280282,Wired Headphones,1,11.99,11/24/19 14:43,"90 2nd St, New York City, NY 10001"
280286,USB-C Charging Cable,1,11.95,11/24/19 07:49,"236 Hill St, San Francisco, CA 94016"
280362,AAA Batteries (4-pack),4,2.99,11/24/19 07:38,"798 6th St, Atlanta, GA 30301"
280366,Bose SoundSport Headphones,1,99.99,11/24/19 12:29,"460 11th St, Portland, OR 97035"
280377,Apple Airpods Headphones,1,150.0,11/24/19 16:05,"314 10th St, Dallas, TX 75001"
280383,USB-C Charging Cable,1,11.95,11/24/19 00:06,"900 Lake St, Atlanta, GA 30301"
280385,USB-C Charging Cable,1,11.95,11/24/19 00:34,"355 River St, Portland, OR 97035"
280410,27in 4K Gaming Monitor,1,389.99,11/24/19 15:57,"104 4th St, New York City, NY 10001"
280420,USB-C Charging Cable,1,11.95,11/24/19 06:38,"227 Park St, San Francisco, CA 94016"
280449,27in FHD Monitor,1,149.99,11/24/19 07:28,"904 Chestnut St, Atlanta, GA 30301"
280469,USB-C Charging Cable,1,11.95,11/24/19 11:34,"365 Ridge St, New York City, NY 10001"
280473,AAA Batteries (4-pack),1,2.99,11/24/19 04:44,"926 13th St, Los Angeles, CA 90001"
280505,Lightning Charging Cable,1,14.95,11/24/19 18:13,"997 Maple St, San Francisco, CA 94016"
280533,AAA Batteries (4-pack),1,2.99,11/24/19 16:57,"320 Lakeview St, Atlanta, GA 30301"
280560,AA Batteries (4-pack),1,3.84,11/24/19 11:00,"985 Jefferson St, San Francisco, CA 94016"
280568,USB-C Charging Cable,2,11.95,11/24/19 10:39,"192 Johnson St, Atlanta, GA 30301"
280585,ThinkPad Laptop,1,999.99,11/24/19 18:59,"211 Wilson St, Boston, MA 02215"
280613,AA Batteries (4-pack),1,3.84,11/24/19 09:59,"441 Lakeview St, Seattle, WA 98101"
280630,20in Monitor,1,109.99,11/24/19 14:23,"996 Cherry St, San Francisco, CA 94016"
280670,Lightning Charging Cable,1,14.95,11/24/19 18:23,"303 Hill St, San Francisco, CA 94016"
280709,AAA Batteries (4-pack),1,2.99,11/24/19 15:15,"395 10th St, Los Angeles, CA 90001"
280734,AAA Batteries (4-pack),1,2.99,11/24/19 14:41,"199 Main St, Los Angeles, CA 90001"
280736,USB-C Charging Cable,1,11.95,11/24/19 16:44,"542 Willow St, San Francisco, CA 94016"
280762,AAA Batteries (4-pack),4,2.99,11/24/19 15:55,"665 South St, Dallas, TX 75001"
280779,27in FHD Monitor,1,149.99,11/24/19 15:13,"871 Hill St, San Francisco, CA 94016"
280786,USB-C Charging Cable,1,11.95,11/24/19 21:51,"614 Lakeview St, San Francisco, CA 94016"
